Basic Parameters: 2024-09-23_10-14-48 model=imagenet_resnet dataset=imagenet n_ex=1000 eps=5.0 p=0.105 n_iter=10000
Clean accuracy: 79.70%
340: attack success rate=55.3%, average queries=100.4, median queries=67.0
341: attack success rate=55.3%, average queries=100.4, median queries=67.0
342: attack success rate=55.3%, average queries=100.4, median queries=67.0
343: attack success rate=55.4%, average queries=100.8, median queries=67.0
344: attack success rate=55.4%, average queries=100.8, median queries=67.0
345: attack success rate=55.4%, average queries=100.8, median queries=67.0
346: attack success rate=55.5%, average queries=101.3, median queries=67.0
347: attack success rate=55.5%, average queries=101.3, median queries=67.0
348: attack success rate=55.6%, average queries=101.7, median queries=67.0
349: attack success rate=55.7%, average queries=102.2, median queries=67.0
350: attack success rate=55.7%, average queries=102.2, median queries=67.0
351: attack success rate=55.8%, average queries=102.6, median queries=67.5
352: attack success rate=56.0%, average queries=103.5, median queries=68.0
353: attack success rate=56.0%, average queries=103.5, median queries=68.0
354: attack success rate=56.2%, average queries=104.4, median queries=68.5
355: attack success rate=56.2%, average queries=104.4, median queries=68.5
356: attack success rate=56.2%, average queries=104.4, median queries=68.5
357: attack success rate=56.2%, average queries=104.4, median queries=68.5
358: attack success rate=56.3%, average queries=104.9, median queries=69.0
359: attack success rate=56.4%, average queries=105.3, median queries=69.0
360: attack success rate=56.5%, average queries=105.8, median queries=69.0
361: attack success rate=56.5%, average queries=105.8, median queries=69.0
362: attack success rate=56.5%, average queries=105.8, median queries=69.0
363: attack success rate=56.6%, average queries=106.2, median queries=69.5
364: attack success rate=56.8%, average queries=107.1, median queries=70.0
365: attack success rate=57.0%, average queries=108.0, median queries=70.0
366: attack success rate=57.0%, average queries=108.0, median queries=70.0
367: attack success rate=57.0%, average queries=108.0, median queries=70.0
368: attack success rate=57.0%, average queries=108.0, median queries=70.0
369: attack success rate=57.1%, average queries=108.5, median queries=70.0
370: attack success rate=57.1%, average queries=108.5, median queries=70.0
371: attack success rate=57.2%, average queries=109.0, median queries=70.5
372: attack success rate=57.2%, average queries=109.0, median queries=70.5
373: attack success rate=57.2%, average queries=109.0, median queries=70.5
374: attack success rate=57.2%, average queries=109.0, median queries=70.5
375: attack success rate=57.3%, average queries=109.4, median queries=71.0
376: attack success rate=57.3%, average queries=109.4, median queries=71.0
377: attack success rate=57.3%, average queries=109.4, median queries=71.0
378: attack success rate=57.3%, average queries=109.4, median queries=71.0
379: attack success rate=57.3%, average queries=109.4, median queries=71.0
380: attack success rate=57.3%, average queries=109.4, median queries=71.0
381: attack success rate=57.3%, average queries=109.4, median queries=71.0
382: attack success rate=57.4%, average queries=109.9, median queries=71.0
383: attack success rate=57.5%, average queries=110.4, median queries=71.0
384: attack success rate=57.5%, average queries=110.4, median queries=71.0
385: attack success rate=57.8%, average queries=111.8, median queries=72.5
386: attack success rate=57.8%, average queries=111.8, median queries=72.5
387: attack success rate=57.8%, average queries=111.8, median queries=72.5
388: attack success rate=57.8%, average queries=111.8, median queries=72.5
389: attack success rate=57.8%, average queries=111.8, median queries=72.5
390: attack success rate=57.8%, average queries=111.8, median queries=72.5
391: attack success rate=57.8%, average queries=111.8, median queries=72.5
392: attack success rate=57.8%, average queries=111.8, median queries=72.5
393: attack success rate=57.8%, average queries=111.8, median queries=72.5
394: attack success rate=57.8%, average queries=111.8, median queries=72.5
395: attack success rate=57.9%, average queries=112.3, median queries=73.0
396: attack success rate=58.0%, average queries=112.8, median queries=73.0
397: attack success rate=58.0%, average queries=112.8, median queries=73.0
398: attack success rate=58.0%, average queries=112.8, median queries=73.0
399: attack success rate=58.1%, average queries=113.3, median queries=73.0
400: attack success rate=58.3%, average queries=114.3, median queries=74.0
401: attack success rate=58.4%, average queries=114.8, median queries=74.5
402: attack success rate=58.4%, average queries=114.8, median queries=74.5
403: attack success rate=58.4%, average queries=114.8, median queries=74.5
404: attack success rate=58.5%, average queries=115.3, median queries=75.0
405: attack success rate=58.5%, average queries=115.3, median queries=75.0
406: attack success rate=58.5%, average queries=115.3, median queries=75.0
407: attack success rate=58.6%, average queries=115.8, median queries=75.5
408: attack success rate=58.6%, average queries=115.8, median queries=75.5
409: attack success rate=58.6%, average queries=115.8, median queries=75.5
410: attack success rate=58.6%, average queries=115.8, median queries=75.5
411: attack success rate=58.6%, average queries=115.8, median queries=75.5
412: attack success rate=58.6%, average queries=115.8, median queries=75.5
413: attack success rate=58.6%, average queries=115.8, median queries=75.5
414: attack success rate=58.6%, average queries=115.8, median queries=75.5
415: attack success rate=58.6%, average queries=115.8, median queries=75.5
416: attack success rate=58.6%, average queries=115.8, median queries=75.5
417: attack success rate=58.6%, average queries=115.8, median queries=75.5
418: attack success rate=58.6%, average queries=115.8, median queries=75.5
419: attack success rate=58.6%, average queries=115.8, median queries=75.5
420: attack success rate=58.7%, average queries=116.3, median queries=76.0
421: attack success rate=58.7%, average queries=116.3, median queries=76.0
422: attack success rate=58.8%, average queries=116.8, median queries=76.5
423: attack success rate=58.8%, average queries=116.8, median queries=76.5
424: attack success rate=58.8%, average queries=116.8, median queries=76.5
425: attack success rate=58.8%, average queries=116.8, median queries=76.5
426: attack success rate=58.8%, average queries=116.8, median queries=76.5
427: attack success rate=58.9%, average queries=117.3, median queries=77.0
428: attack success rate=59.0%, average queries=117.9, median queries=77.0
429: attack success rate=59.2%, average queries=118.9, median queries=77.0
430: attack success rate=59.2%, average queries=118.9, median queries=77.0
431: attack success rate=59.3%, average queries=119.4, median queries=77.0
432: attack success rate=59.3%, average queries=119.4, median queries=77.0
433: attack success rate=59.3%, average queries=119.4, median queries=77.0
434: attack success rate=59.3%, average queries=119.4, median queries=77.0
435: attack success rate=59.3%, average queries=119.4, median queries=77.0
436: attack success rate=59.5%, average queries=120.5, median queries=77.0
437: attack success rate=59.6%, average queries=121.0, median queries=77.5
438: attack success rate=59.6%, average queries=121.0, median queries=77.5
439: attack success rate=59.7%, average queries=121.6, median queries=78.0
440: attack success rate=59.7%, average queries=121.6, median queries=78.0
441: attack success rate=59.7%, average queries=121.6, median queries=78.0
442: attack success rate=59.9%, average queries=122.6, median queries=78.0
443: attack success rate=59.9%, average queries=122.6, median queries=78.0
444: attack success rate=59.9%, average queries=122.6, median queries=78.0
445: attack success rate=59.9%, average queries=122.6, median queries=78.0
446: attack success rate=59.9%, average queries=122.6, median queries=78.0
447: attack success rate=59.9%, average queries=122.6, median queries=78.0
448: attack success rate=60.0%, average queries=123.2, median queries=78.0
449: attack success rate=60.0%, average queries=123.2, median queries=78.0
450: attack success rate=60.0%, average queries=123.2, median queries=78.0
451: attack success rate=60.1%, average queries=123.7, median queries=78.0
452: attack success rate=60.1%, average queries=123.7, median queries=78.0
453: attack success rate=60.2%, average queries=124.3, median queries=78.0
454: attack success rate=60.3%, average queries=124.8, median queries=78.0
455: attack success rate=60.4%, average queries=125.4, median queries=78.5
456: attack success rate=60.4%, average queries=125.4, median queries=78.5
457: attack success rate=60.5%, average queries=125.9, median queries=79.0
458: attack success rate=60.6%, average queries=126.5, median queries=79.0
459: attack success rate=60.8%, average queries=127.6, median queries=79.0
460: attack success rate=60.8%, average queries=127.6, median queries=79.0
461: attack success rate=60.9%, average queries=128.1, median queries=79.0
462: attack success rate=60.9%, average queries=128.1, median queries=79.0
463: attack success rate=60.9%, average queries=128.1, median queries=79.0
464: attack success rate=61.0%, average queries=128.7, median queries=79.0
465: attack success rate=61.0%, average queries=128.7, median queries=79.0
466: attack success rate=61.0%, average queries=128.7, median queries=79.0
467: attack success rate=61.0%, average queries=128.7, median queries=79.0
