Basic Parameters: 2024-09-21_19-17-05 model=svhn-defended-trades dataset=svhn n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 93.85%
203: attack success rate=97.3%, average queries=19.1, median queries=7.0
204: attack success rate=97.3%, average queries=19.1, median queries=7.0
205: attack success rate=97.3%, average queries=19.1, median queries=7.0
206: attack success rate=97.3%, average queries=19.1, median queries=7.0
207: attack success rate=97.4%, average queries=19.3, median queries=7.0
208: attack success rate=97.7%, average queries=19.8, median queries=7.0
209: attack success rate=97.7%, average queries=19.8, median queries=7.0
210: attack success rate=97.7%, average queries=19.8, median queries=7.0
211: attack success rate=97.7%, average queries=19.8, median queries=7.0
212: attack success rate=97.7%, average queries=19.8, median queries=7.0
213: attack success rate=97.7%, average queries=19.8, median queries=7.0
214: attack success rate=97.7%, average queries=19.8, median queries=7.0
215: attack success rate=97.7%, average queries=19.8, median queries=7.0
216: attack success rate=97.7%, average queries=19.8, median queries=7.0
217: attack success rate=97.7%, average queries=19.8, median queries=7.0
218: attack success rate=97.7%, average queries=19.8, median queries=7.0
219: attack success rate=97.7%, average queries=19.8, median queries=7.0
220: attack success rate=97.7%, average queries=19.8, median queries=7.0
221: attack success rate=97.7%, average queries=19.8, median queries=7.0
222: attack success rate=97.8%, average queries=20.0, median queries=7.0
223: attack success rate=97.8%, average queries=20.0, median queries=7.0
224: attack success rate=97.8%, average queries=20.0, median queries=7.0
225: attack success rate=97.8%, average queries=20.0, median queries=7.0
226: attack success rate=97.8%, average queries=20.0, median queries=7.0
227: attack success rate=97.8%, average queries=20.0, median queries=7.0
228: attack success rate=97.9%, average queries=20.3, median queries=7.0
229: attack success rate=97.9%, average queries=20.3, median queries=7.0
230: attack success rate=97.9%, average queries=20.3, median queries=7.0
231: attack success rate=97.9%, average queries=20.3, median queries=7.0
232: attack success rate=98.0%, average queries=20.5, median queries=7.0
233: attack success rate=98.0%, average queries=20.5, median queries=7.0
234: attack success rate=98.1%, average queries=20.7, median queries=7.0
235: attack success rate=98.1%, average queries=20.7, median queries=7.0
236: attack success rate=98.2%, average queries=20.9, median queries=7.0
237: attack success rate=98.2%, average queries=20.9, median queries=7.0
238: attack success rate=98.2%, average queries=20.9, median queries=7.0
239: attack success rate=98.2%, average queries=20.9, median queries=7.0
240: attack success rate=98.2%, average queries=20.9, median queries=7.0
241: attack success rate=98.2%, average queries=20.9, median queries=7.0
242: attack success rate=98.2%, average queries=20.9, median queries=7.0
243: attack success rate=98.3%, average queries=21.1, median queries=7.0
244: attack success rate=98.3%, average queries=21.1, median queries=7.0
245: attack success rate=98.3%, average queries=21.1, median queries=7.0
246: attack success rate=98.3%, average queries=21.1, median queries=7.0
247: attack success rate=98.3%, average queries=21.1, median queries=7.0
248: attack success rate=98.3%, average queries=21.1, median queries=7.0
249: attack success rate=98.3%, average queries=21.1, median queries=7.0
250: attack success rate=98.3%, average queries=21.1, median queries=7.0
251: attack success rate=98.3%, average queries=21.1, median queries=7.0
252: attack success rate=98.3%, average queries=21.1, median queries=7.0
253: attack success rate=98.3%, average queries=21.1, median queries=7.0
254: attack success rate=98.4%, average queries=21.4, median queries=7.0
255: attack success rate=98.4%, average queries=21.4, median queries=7.0
256: attack success rate=98.4%, average queries=21.4, median queries=7.0
257: attack success rate=98.4%, average queries=21.4, median queries=7.0
258: attack success rate=98.4%, average queries=21.4, median queries=7.0
259: attack success rate=98.4%, average queries=21.4, median queries=7.0
260: attack success rate=98.4%, average queries=21.4, median queries=7.0
261: attack success rate=98.4%, average queries=21.4, median queries=7.0
262: attack success rate=98.4%, average queries=21.4, median queries=7.0
263: attack success rate=98.4%, average queries=21.4, median queries=7.0
264: attack success rate=98.4%, average queries=21.4, median queries=7.0
265: attack success rate=98.4%, average queries=21.4, median queries=7.0
266: attack success rate=98.5%, average queries=21.6, median queries=7.0
267: attack success rate=98.5%, average queries=21.6, median queries=7.0
268: attack success rate=98.6%, average queries=21.9, median queries=7.0
269: attack success rate=98.6%, average queries=21.9, median queries=7.0
270: attack success rate=98.6%, average queries=21.9, median queries=7.0
271: attack success rate=98.6%, average queries=21.9, median queries=7.0
272: attack success rate=98.6%, average queries=21.9, median queries=7.0
273: attack success rate=98.6%, average queries=21.9, median queries=7.0
274: attack success rate=98.6%, average queries=21.9, median queries=7.0
275: attack success rate=98.6%, average queries=21.9, median queries=7.0
276: attack success rate=98.6%, average queries=21.9, median queries=7.0
277: attack success rate=98.6%, average queries=21.9, median queries=7.0
278: attack success rate=98.6%, average queries=21.9, median queries=7.0
279: attack success rate=98.6%, average queries=21.9, median queries=7.0
280: attack success rate=98.6%, average queries=21.9, median queries=7.0
281: attack success rate=98.6%, average queries=21.9, median queries=7.0
282: attack success rate=98.6%, average queries=21.9, median queries=7.0
283: attack success rate=98.6%, average queries=21.9, median queries=7.0
284: attack success rate=98.6%, average queries=21.9, median queries=7.0
285: attack success rate=98.6%, average queries=21.9, median queries=7.0
286: attack success rate=98.6%, average queries=21.9, median queries=7.0
287: attack success rate=98.6%, average queries=21.9, median queries=7.0
288: attack success rate=98.6%, average queries=21.9, median queries=7.0
289: attack success rate=98.6%, average queries=21.9, median queries=7.0
290: attack success rate=98.6%, average queries=21.9, median queries=7.0
291: attack success rate=98.6%, average queries=21.9, median queries=7.0
292: attack success rate=98.6%, average queries=21.9, median queries=7.0
293: attack success rate=98.6%, average queries=21.9, median queries=7.0
294: attack success rate=98.6%, average queries=21.9, median queries=7.0
295: attack success rate=98.6%, average queries=21.9, median queries=7.0
296: attack success rate=98.6%, average queries=21.9, median queries=7.0
297: attack success rate=98.6%, average queries=21.9, median queries=7.0
298: attack success rate=98.6%, average queries=21.9, median queries=7.0
299: attack success rate=98.6%, average queries=21.9, median queries=7.0
300: attack success rate=98.6%, average queries=21.9, median queries=7.0
301: attack success rate=98.6%, average queries=21.9, median queries=7.0
302: attack success rate=98.7%, average queries=22.2, median queries=7.0
303: attack success rate=98.7%, average queries=22.2, median queries=7.0
304: attack success rate=98.7%, average queries=22.2, median queries=7.0
305: attack success rate=98.7%, average queries=22.2, median queries=7.0
306: attack success rate=98.7%, average queries=22.2, median queries=7.0
307: attack success rate=98.7%, average queries=22.2, median queries=7.0
308: attack success rate=98.7%, average queries=22.2, median queries=7.0
309: attack success rate=98.7%, average queries=22.2, median queries=7.0
310: attack success rate=98.7%, average queries=22.2, median queries=7.0
311: attack success rate=98.7%, average queries=22.2, median queries=7.0
312: attack success rate=98.7%, average queries=22.2, median queries=7.0
313: attack success rate=98.7%, average queries=22.2, median queries=7.0
314: attack success rate=98.7%, average queries=22.2, median queries=7.0
315: attack success rate=98.7%, average queries=22.2, median queries=7.0
316: attack success rate=98.7%, average queries=22.2, median queries=7.0
317: attack success rate=98.7%, average queries=22.2, median queries=7.0
318: attack success rate=98.7%, average queries=22.2, median queries=7.0
319: attack success rate=98.7%, average queries=22.2, median queries=7.0
320: attack success rate=98.8%, average queries=22.5, median queries=7.0
321: attack success rate=98.9%, average queries=22.8, median queries=7.0
322: attack success rate=98.9%, average queries=22.8, median queries=7.0
323: attack success rate=98.9%, average queries=22.8, median queries=7.0
324: attack success rate=98.9%, average queries=22.8, median queries=7.0
325: attack success rate=98.9%, average queries=22.8, median queries=7.0
326: attack success rate=98.9%, average queries=22.8, median queries=7.0
327: attack success rate=99.0%, average queries=23.1, median queries=7.0
328: attack success rate=99.0%, average queries=23.1, median queries=7.0
329: attack success rate=99.0%, average queries=23.1, median queries=7.0
330: attack success rate=99.0%, average queries=23.1, median queries=7.0
331: attack success rate=99.0%, average queries=23.1, median queries=7.0
332: attack success rate=99.0%, average queries=23.1, median queries=7.0
333: attack success rate=99.0%, average queries=23.1, median queries=7.0
334: attack success rate=99.0%, average queries=23.1, median queries=7.0
335: attack success rate=99.0%, average queries=23.1, median queries=7.0
336: attack success rate=99.0%, average queries=23.1, median queries=7.0
337: attack success rate=99.0%, average queries=23.1, median queries=7.0
338: attack success rate=99.0%, average queries=23.1, median queries=7.0
339: attack success rate=99.0%, average queries=23.1, median queries=7.0
340: attack success rate=99.0%, average queries=23.1, median queries=7.0
341: attack success rate=99.0%, average queries=23.1, median queries=7.0
342: attack success rate=99.0%, average queries=23.1, median queries=7.0
343: attack success rate=99.0%, average queries=23.1, median queries=7.0
344: attack success rate=99.0%, average queries=23.1, median queries=7.0
345: attack success rate=99.0%, average queries=23.1, median queries=7.0
346: attack success rate=99.1%, average queries=23.4, median queries=7.0
347: attack success rate=99.1%, average queries=23.4, median queries=7.0
348: attack success rate=99.1%, average queries=23.4, median queries=7.0
349: attack success rate=99.1%, average queries=23.4, median queries=7.0
350: attack success rate=99.1%, average queries=23.4, median queries=7.0
351: attack success rate=99.1%, average queries=23.4, median queries=7.0
352: attack success rate=99.1%, average queries=23.4, median queries=7.0
353: attack success rate=99.1%, average queries=23.4, median queries=7.0
354: attack success rate=99.1%, average queries=23.4, median queries=7.0
355: attack success rate=99.1%, average queries=23.4, median queries=7.0
356: attack success rate=99.1%, average queries=23.4, median queries=7.0
357: attack success rate=99.1%, average queries=23.4, median queries=7.0
358: attack success rate=99.1%, average queries=23.4, median queries=7.0
359: attack success rate=99.1%, average queries=23.4, median queries=7.0
360: attack success rate=99.1%, average queries=23.4, median queries=7.0
361: attack success rate=99.1%, average queries=23.4, median queries=7.0
362: attack success rate=99.1%, average queries=23.4, median queries=7.0
363: attack success rate=99.1%, average queries=23.4, median queries=7.0
364: attack success rate=99.1%, average queries=23.4, median queries=7.0
365: attack success rate=99.1%, average queries=23.4, median queries=7.0
366: attack success rate=99.1%, average queries=23.4, median queries=7.0
367: attack success rate=99.1%, average queries=23.4, median queries=7.0
368: attack success rate=99.1%, average queries=23.4, median queries=7.0
369: attack success rate=99.1%, average queries=23.4, median queries=7.0
370: attack success rate=99.1%, average queries=23.4, median queries=7.0
371: attack success rate=99.1%, average queries=23.4, median queries=7.0
372: attack success rate=99.1%, average queries=23.4, median queries=7.0
373: attack success rate=99.1%, average queries=23.4, median queries=7.0
374: attack success rate=99.1%, average queries=23.4, median queries=7.0
375: attack success rate=99.1%, average queries=23.4, median queries=7.0
376: attack success rate=99.1%, average queries=23.4, median queries=7.0
377: attack success rate=99.1%, average queries=23.4, median queries=7.0
378: attack success rate=99.1%, average queries=23.4, median queries=7.0
379: attack success rate=99.1%, average queries=23.4, median queries=7.0
380: attack success rate=99.1%, average queries=23.4, median queries=7.0
381: attack success rate=99.2%, average queries=23.8, median queries=7.0
382: attack success rate=99.2%, average queries=23.8, median queries=7.0
383: attack success rate=99.2%, average queries=23.8, median queries=7.0
384: attack success rate=99.2%, average queries=23.8, median queries=7.0
385: attack success rate=99.2%, average queries=23.8, median queries=7.0
386: attack success rate=99.2%, average queries=23.8, median queries=7.0
