Basic Parameters: 2024-09-21_15-38-53 model=cifar10-defended-trades dataset=cifar10 n_ex=1000 eps=5.0 p=0.11 n_iter=20000
Clean accuracy: 85.30%
219: attack success rate=83.7%, average queries=38.6, median queries=16.0
220: attack success rate=83.7%, average queries=38.6, median queries=16.0
221: attack success rate=83.7%, average queries=38.6, median queries=16.0
222: attack success rate=83.8%, average queries=38.8, median queries=16.0
223: attack success rate=83.9%, average queries=39.0, median queries=16.0
224: attack success rate=84.1%, average queries=39.5, median queries=16.0
225: attack success rate=84.1%, average queries=39.5, median queries=16.0
226: attack success rate=84.1%, average queries=39.5, median queries=16.0
227: attack success rate=84.1%, average queries=39.5, median queries=16.0
228: attack success rate=84.5%, average queries=40.4, median queries=16.0
229: attack success rate=84.5%, average queries=40.4, median queries=16.0
230: attack success rate=84.5%, average queries=40.4, median queries=16.0
231: attack success rate=84.5%, average queries=40.4, median queries=16.0
232: attack success rate=84.6%, average queries=40.6, median queries=16.0
233: attack success rate=84.6%, average queries=40.6, median queries=16.0
234: attack success rate=84.6%, average queries=40.6, median queries=16.0
235: attack success rate=84.7%, average queries=40.8, median queries=16.0
236: attack success rate=84.7%, average queries=40.8, median queries=16.0
237: attack success rate=84.7%, average queries=40.8, median queries=16.0
238: attack success rate=84.7%, average queries=40.8, median queries=16.0
239: attack success rate=84.7%, average queries=40.8, median queries=16.0
240: attack success rate=84.7%, average queries=40.8, median queries=16.0
241: attack success rate=84.7%, average queries=40.8, median queries=16.0
242: attack success rate=84.7%, average queries=40.8, median queries=16.0
243: attack success rate=84.7%, average queries=40.8, median queries=16.0
244: attack success rate=84.7%, average queries=40.8, median queries=16.0
245: attack success rate=84.7%, average queries=40.8, median queries=16.0
246: attack success rate=84.9%, average queries=41.3, median queries=16.0
247: attack success rate=84.9%, average queries=41.3, median queries=16.0
248: attack success rate=84.9%, average queries=41.3, median queries=16.0
249: attack success rate=84.9%, average queries=41.3, median queries=16.0
250: attack success rate=84.9%, average queries=41.3, median queries=16.0
251: attack success rate=85.0%, average queries=41.5, median queries=16.0
252: attack success rate=85.0%, average queries=41.5, median queries=16.0
253: attack success rate=85.1%, average queries=41.8, median queries=16.0
254: attack success rate=85.2%, average queries=42.0, median queries=16.0
255: attack success rate=85.5%, average queries=42.8, median queries=16.0
256: attack success rate=85.5%, average queries=42.8, median queries=16.0
257: attack success rate=85.5%, average queries=42.8, median queries=16.0
258: attack success rate=85.7%, average queries=43.3, median queries=16.0
259: attack success rate=85.7%, average queries=43.3, median queries=16.0
260: attack success rate=85.7%, average queries=43.3, median queries=16.0
261: attack success rate=85.7%, average queries=43.3, median queries=16.0
262: attack success rate=85.7%, average queries=43.3, median queries=16.0
263: attack success rate=85.7%, average queries=43.3, median queries=16.0
264: attack success rate=85.8%, average queries=43.6, median queries=16.0
265: attack success rate=86.0%, average queries=44.1, median queries=16.5
266: attack success rate=86.0%, average queries=44.1, median queries=16.5
267: attack success rate=86.1%, average queries=44.3, median queries=17.0
268: attack success rate=86.1%, average queries=44.3, median queries=17.0
269: attack success rate=86.1%, average queries=44.3, median queries=17.0
270: attack success rate=86.1%, average queries=44.3, median queries=17.0
271: attack success rate=86.1%, average queries=44.3, median queries=17.0
272: attack success rate=86.1%, average queries=44.3, median queries=17.0
273: attack success rate=86.1%, average queries=44.3, median queries=17.0
274: attack success rate=86.2%, average queries=44.6, median queries=17.0
275: attack success rate=86.2%, average queries=44.6, median queries=17.0
276: attack success rate=86.3%, average queries=44.9, median queries=17.0
277: attack success rate=86.3%, average queries=44.9, median queries=17.0
278: attack success rate=86.3%, average queries=44.9, median queries=17.0
279: attack success rate=86.5%, average queries=45.4, median queries=17.0
280: attack success rate=86.5%, average queries=45.4, median queries=17.0
281: attack success rate=86.6%, average queries=45.7, median queries=17.0
282: attack success rate=87.0%, average queries=46.8, median queries=17.0
283: attack success rate=87.1%, average queries=47.1, median queries=17.0
284: attack success rate=87.2%, average queries=47.3, median queries=17.0
285: attack success rate=87.2%, average queries=47.3, median queries=17.0
286: attack success rate=87.2%, average queries=47.3, median queries=17.0
287: attack success rate=87.2%, average queries=47.3, median queries=17.0
288: attack success rate=87.2%, average queries=47.3, median queries=17.0
289: attack success rate=87.3%, average queries=47.6, median queries=17.0
