Basic Parameters: 2024-09-22_15-27-05 model=imagenet_inception dataset=imagenet n_ex=1000 eps=5.0 p=0.103 n_iter=10000
Clean accuracy: 76.10%
293: attack success rate=44.9%, average queries=91.1, median queries=63.0
294: attack success rate=45.0%, average queries=91.6, median queries=63.0
295: attack success rate=45.2%, average queries=92.5, median queries=64.0
296: attack success rate=45.3%, average queries=92.9, median queries=65.0
297: attack success rate=45.3%, average queries=92.9, median queries=65.0
298: attack success rate=45.3%, average queries=92.9, median queries=65.0
299: attack success rate=45.3%, average queries=92.9, median queries=65.0
300: attack success rate=45.3%, average queries=92.9, median queries=65.0
301: attack success rate=45.3%, average queries=92.9, median queries=65.0
302: attack success rate=45.4%, average queries=93.4, median queries=66.0
303: attack success rate=45.4%, average queries=93.4, median queries=66.0
304: attack success rate=45.4%, average queries=93.4, median queries=66.0
305: attack success rate=45.4%, average queries=93.4, median queries=66.0
306: attack success rate=45.5%, average queries=93.9, median queries=67.0
307: attack success rate=45.6%, average queries=94.3, median queries=67.0
308: attack success rate=45.8%, average queries=95.3, median queries=67.5
309: attack success rate=45.8%, average queries=95.3, median queries=67.5
310: attack success rate=46.0%, average queries=96.2, median queries=68.0
311: attack success rate=46.0%, average queries=96.2, median queries=68.0
312: attack success rate=46.0%, average queries=96.2, median queries=68.0
313: attack success rate=46.1%, average queries=96.7, median queries=68.0
314: attack success rate=46.2%, average queries=97.2, median queries=68.0
315: attack success rate=46.2%, average queries=97.2, median queries=68.0
316: attack success rate=46.3%, average queries=97.6, median queries=68.0
317: attack success rate=46.3%, average queries=97.6, median queries=68.0
318: attack success rate=46.3%, average queries=97.6, median queries=68.0
319: attack success rate=46.4%, average queries=98.1, median queries=68.0
320: attack success rate=46.4%, average queries=98.1, median queries=68.0
321: attack success rate=46.6%, average queries=99.1, median queries=69.0
322: attack success rate=46.6%, average queries=99.1, median queries=69.0
323: attack success rate=46.6%, average queries=99.1, median queries=69.0
324: attack success rate=46.6%, average queries=99.1, median queries=69.0
325: attack success rate=46.7%, average queries=99.6, median queries=70.0
326: attack success rate=46.7%, average queries=99.6, median queries=70.0
327: attack success rate=46.7%, average queries=99.6, median queries=70.0
328: attack success rate=46.9%, average queries=100.5, median queries=70.0
329: attack success rate=47.1%, average queries=101.5, median queries=71.0
330: attack success rate=47.2%, average queries=102.0, median queries=72.0
331: attack success rate=47.2%, average queries=102.0, median queries=72.0
332: attack success rate=47.2%, average queries=102.0, median queries=72.0
333: attack success rate=47.2%, average queries=102.0, median queries=72.0
334: attack success rate=47.2%, average queries=102.0, median queries=72.0
335: attack success rate=47.3%, average queries=102.5, median queries=73.0
336: attack success rate=47.3%, average queries=102.5, median queries=73.0
337: attack success rate=47.4%, average queries=103.0, median queries=73.5
338: attack success rate=47.4%, average queries=103.0, median queries=73.5
339: attack success rate=47.4%, average queries=103.0, median queries=73.5
340: attack success rate=47.6%, average queries=104.0, median queries=74.5
341: attack success rate=47.7%, average queries=104.5, median queries=75.0
342: attack success rate=47.8%, average queries=105.0, median queries=75.0
343: attack success rate=47.8%, average queries=105.0, median queries=75.0
344: attack success rate=47.9%, average queries=105.5, median queries=75.0
345: attack success rate=48.0%, average queries=106.0, median queries=76.5
346: attack success rate=48.3%, average queries=107.5, median queries=78.0
347: attack success rate=48.4%, average queries=108.0, median queries=78.5
348: attack success rate=48.6%, average queries=109.0, median queries=79.0
349: attack success rate=48.7%, average queries=109.5, median queries=79.0
350: attack success rate=49.1%, average queries=111.4, median queries=79.0
351: attack success rate=49.1%, average queries=111.4, median queries=79.0
352: attack success rate=49.1%, average queries=111.4, median queries=79.0
353: attack success rate=49.1%, average queries=111.4, median queries=79.0
354: attack success rate=49.1%, average queries=111.4, median queries=79.0
355: attack success rate=49.1%, average queries=111.4, median queries=79.0
356: attack success rate=49.2%, average queries=111.9, median queries=79.5
357: attack success rate=49.2%, average queries=111.9, median queries=79.5
358: attack success rate=49.3%, average queries=112.4, median queries=80.0
359: attack success rate=49.4%, average queries=112.9, median queries=80.5
360: attack success rate=49.4%, average queries=112.9, median queries=80.5
361: attack success rate=49.5%, average queries=113.5, median queries=81.0
362: attack success rate=49.5%, average queries=113.5, median queries=81.0
363: attack success rate=49.6%, average queries=114.0, median queries=81.0
364: attack success rate=49.6%, average queries=114.0, median queries=81.0
365: attack success rate=49.6%, average queries=114.0, median queries=81.0
366: attack success rate=49.7%, average queries=114.5, median queries=81.0
367: attack success rate=49.7%, average queries=114.5, median queries=81.0
368: attack success rate=49.7%, average queries=114.5, median queries=81.0
369: attack success rate=49.8%, average queries=115.0, median queries=81.0
370: attack success rate=49.8%, average queries=115.0, median queries=81.0
371: attack success rate=49.8%, average queries=115.0, median queries=81.0
372: attack success rate=49.8%, average queries=115.0, median queries=81.0
373: attack success rate=49.8%, average queries=115.0, median queries=81.0
374: attack success rate=49.8%, average queries=115.0, median queries=81.0
375: attack success rate=49.8%, average queries=115.0, median queries=81.0
